PairedTagName,ATACName,DNAmethName,AllenIdName,all,H3K4me1,H3K9me3,H3K27ac,H3K27me3,ATAC,DNAMeth,HiC
105_TMd_DMH_Foxd2_Gaba,105_TMd-DMH_Foxd2_Gaba,105_TMd-DMH_Foxd2_Gaba,105 TMd-DMH Foxd2 Gaba,all-male29:16:13_female21:13:8,H3K4me1-male11:6:5_female8:4:4,H3K9me3-male4:1:3_female3:1:2,H3K27ac-male8:6:2_female6:5:1,H3K27me3-male6:3:3_female4:3:1,0,0,0
106_PVpo_VMPO_MPN_Hmx2_Gaba,106_PVpo-VMPO-MPN_Hmx2_Gaba,106_PVpo-VMPO-MPN_Hmx2_Gaba,106 PVpo-VMPO-MPN Hmx2 Gaba,all-male4469:2035:2434_female4615:2873:1742,H3K4me1-male1371:513:858_female1946:1344:602,H3K9me3-male1019:158:861_female1112:500:612,H3K27ac-male845:592:253_female563:386:177,H3K27me3-male1234:772:462_female994:643:351,1,1,1
107_DMH_Hmx2_Gaba,107_DMH_Hmx2_Gaba,107_DMH_Hmx2_Gaba,107 DMH Hmx2 Gaba,all-male6370:2420:3950_female3519:2219:1300,H3K4me1-male2058:650:1408_female1400:1006:394,H3K9me3-male1583:249:1334_female814:370:444,H3K27ac-male1016:631:385_female453:294:159,H3K27me3-male1713:890:823_female852:549:303,0,0,0
108_ARH_PVp_Tbx3_Gaba,108_ARH-PVp_Tbx3_Gaba,108_ARH-PVp_Tbx3_Gaba,108 ARH-PVp Tbx3 Gaba,all-male6700:2575:4125_female8580:6606:1974,H3K4me1-male2390:1058:1332_female3664:3116:548,H3K9me3-male1311:370:941_female1601:987:614,H3K27ac-male1280:645:635_female1499:1122:377,H3K27me3-male1719:502:1217_female1816:1381:435,0,0,0
109_LGv_ZI_Otx2_Gaba,109_LGv-ZI_Otx2_Gaba,109_LGv-ZI_Otx2_Gaba,109 LGv-ZI Otx2 Gaba,all-male131:69:62_female90:58:32,H3K4me1-male33:16:17_female24:16:8,H3K9me3-male25:1:24_female23:11:12,H3K27ac-male31:25:6_female11:8:3,H3K27me3-male42:27:15_female32:23:9,1,1,1
112_GPi_Tbr1_Cngb3_Gaba_Glut,112_GPi_Tbr1_Cngb3_Gaba-Glut,112_GPi_Tbr1_Cngb3_Gaba-Glut,112 GPi Tbr1 Cngb3 Gaba-Glut,all-male539:244:295_female297:162:135,H3K4me1-male174:68:106_female119:79:40,H3K9me3-male126:25:101_female72:19:53,H3K27ac-male92:59:33_female32:14:18,H3K27me3-male147:92:55_female74:50:24,1,1,1
113_MEA_COA_BMA_Ccdc42_Glut,113_MEA-COA-BMA_Ccdc42_Glut,113_MEA-COA-BMA_Ccdc42_Glut,113 MEA-COA-BMA Ccdc42 Glut,all-male8744:3710:5034_female7331:5509:1822,H3K4me1-male2208:411:1797_female1710:1089:621,H3K9me3-male3806:1823:1983_female1693:1089:604,H3K27ac-male892:542:350_female2327:2199:128,H3K27me3-male1838:934:904_female1601:1132:469,1,1,1
114_COAa_PAA_MEA_Barhl2_Glut,114_COAa-PAA-MEA_Barhl2_Glut,114_COAa-PAA-MEA_Barhl2_Glut,114 COAa-PAA-MEA Barhl2 Glut,all-male3870:1590:2280_female3676:2697:979,H3K4me1-male1006:164:842_female878:546:332,H3K9me3-male1619:793:826_female784:520:264,H3K27ac-male505:270:235_female1237:1149:88,H3K27me3-male740:363:377_female777:482:295,1,1,1
116_AVPV_MEPO_SFO_Tbr1_Glut,116_AVPV-MEPO-SFO_Tbr1_Glut,116_AVPV-MEPO-SFO_Tbr1_Glut,116 AVPV-MEPO-SFO Tbr1 Glut,all-male1:1:0_female1115:775:340,H3K4me1-male1:1:0_female572:406:166,H3K9me3-male0:0:0_female240:127:113,H3K27ac-male0:0:0_female117:96:21,H3K27me3-male0:0:0_female186:146:40,1,1,1
117_LHA_Barhl2_Glut,117_LHA_Barhl2_Glut,117_LHA_Barhl2_Glut,117 LHA Barhl2 Glut,all-male1988:941:1047_female1219:766:453,H3K4me1-male643:256:387_female467:328:139,H3K9me3-male440:72:368_female307:132:175,H3K27ac-male353:248:105_female160:104:56,H3K27me3-male552:365:187_female285:202:83,1,1,1
