,Gene,RTS,Priority
596,PCDHGA2,0.047867077,Y
597,ANO1,0.047858768,Y
598,BRINP2,0.047723788,Y
599,MT1JP,0.047559797,Y
600,GRIN2C,0.047512215,Y
601,PCDHGA1,0.04744382,Y
602,KCNQ1,0.047130817,Y
603,PCDHGA3,0.047090171,Y
604,TBKBP1,0.04695654,Y
605,VPREB1,0.046908145,Y
606,TP73,0.046859199,Y
607,PCDHGB1,0.046523105,Y
608,IRF8,0.045936835,Y
609,PHF24,0.045761941,Y
610,RBBP8NL,0.045655536,Y
611,FADS6,0.045618385,Y
612,C5orf66-AS1,0.045592743,Y
613,SEPT5,0.045576215,Y
614,LOC101928766,0.045401699,Y
615,LOC399886,0.045397533,Y
616,CACNA2D4,0.045192067,Y
617,ADAMTSL2,0.045177932,Y
618,LINC00029,0.045146327,Y
619,LOC101926913,0.044903357,Y
620,DPYSL5,0.044824402,Y
621,PCDHGA4,0.044646516,Y
622,PKNOX2,0.044575264,Y
623,PSD2,0.044564789,Y
624,PCDHGB2,0.04452074,Y
625,ADGRB1,0.044331166,Y
626,GAD2,0.044141992,Y
627,PCDHGA5,0.043986648,Y
628,IGF2BP3,0.043756782,Y
629,MIR9-1,0.043648893,Y
630,CCM2L,0.043533718,Y
631,MT1M,0.043515479,Y
632,ADCYAP1,0.043503897,Y
633,FZD10,0.043231209,Y
634,HOXB7,0.042902868,Y
635,KLK2,0.042862538,Y
636,FGF19,0.042600927,Y
637,SOX7,0.042514779,Y
638,CBX2,0.042451292,Y
639,TRIM67,0.042447965,Y
640,C1QL1,0.042401565,Y
641,FRMPD1,0.042385839,Y
642,BMI1,0.042325373,Y
643,COMMD3-BMI1,0.042325373,Y
644,GRIN1,0.04231835,Y
645,CNTFR-AS1,0.042291659,Y
646,EEF1A2,0.042284271,Y
647,ATOH1,0.042206807,Y
648,PCDHGB3,0.042204368,Y
649,PCDHGA6,0.042012915,Y
650,LOC101929538,0.041565173,Y
651,EGR3,0.041529354,Y
652,TRIM63,0.041335769,Y
653,MEIS3,0.041184163,Y
654,VGLL2,0.041121617,Y
655,PCDHGA7,0.040264907,Y
656,SKAP1,0.04018036,Y
657,LRFN2,0.040005533,Y
658,PCDH8,0.039975741,Y
659,LINC00982,0.039461361,Y
660,LIN28B,0.039106519,Y
661,KCNB1,0.039096141,Y
662,SOX14,0.039002343,Y
663,LINC01096,0.038783208,Y
664,NKX3-2,0.038783208,Y
665,PRDM12,0.038751634,Y
666,OVOL1,0.03833814,Y
667,CCDC177,0.038300247,Y
668,PRMT8,0.038154618,Y
669,ZNF503,0.038073631,Y
670,RXRG,0.037509385,Y
671,GRID1,0.037452568,Y
672,OR4D2,0.03738688,Y
673,KCNK3,0.037303538,Y
674,H19,0.037282961,Y
675,RIPK3,0.037185981,Y
676,LOC100190940,0.037067349,Y
677,C14orf180,0.036904085,Y
678,MIR4418,0.036620029,Y
679,OR4D1,0.036304985,Y
680,GP1BB,0.036190843,Y
681,C15orf59,0.036000625,Y
682,LINC01116,0.035830597,Y
683,ZIC3,0.03560282,Y
684,SORCS2,0.035476405,Y
685,PRSS56,0.035399984,Y
686,GRP,0.035046183,Y
687,ATOH8,0.035044228,Y
688,CYP24A1,0.034884281,Y
689,FIBCD1,0.034412369,Y
690,CACNG4,0.034257635,Y
691,PCAT19,0.034126684,Y
692,ESRRB,0.034076669,Y
693,LOC105372441,0.033968771,Y
694,LRTM2,0.033395069,Y
695,CACNA1E,0.033289761,Y
696,LEF1,0.033209011,Y
697,HOXB8,0.033141757,Y
698,ULBP2,0.033087371,Y
699,SYNDIG1L,0.032887912,Y
700,MIR124-2HG,0.032773107,Y
701,NR4A2,0.032556123,Y
702,CXCL14,0.032492087,Y
703,CAMK2N1,0.032402988,Y
704,SOX18,0.032150039,Y
705,SP5,0.032012078,Y
706,MECOM,0.031945257,Y
707,NXPH1,0.03185322,Y
708,SCUBE1,0.031850376,Y
709,DPYSL2,0.031642956,Y
710,TMEM179,0.031406353,Y
711,ALX3,0.031344155,Y
712,TTLL10,0.030982317,Y
713,LINC01396,0.030965039,Y
714,ANO1-AS2,0.030913437,Y
715,SOWAHA,0.030855695,Y
716,LOC101928738,0.030832312,Y
717,XKR7,0.030756374,Y
718,SPAG6,0.030744322,Y
719,OR2V1,0.030599769,Y
720,PRRX1,0.030453348,Y
721,HOXB1,0.030443813,Y
722,CD6,0.03039455,Y
723,CCDC155,0.030228076,Y
724,CBX4,0.030176689,Y
725,SHROOM1,0.030088705,Y
726,RAB37,0.029986587,Y
727,LOC283731,0.029940343,Y
728,GIMAP1-GIMAP5,0.02969215,Y
729,LOC440390,0.029455783,Y
730,NFIB,0.029306666,Y
731,ARHGAP40,0.029192584,Y
732,CDKN2C,0.029136217,Y
733,SOX3,0.029043964,Y
734,KLK15,0.029006794,Y
735,ABLIM2,0.028994958,Y
736,BEGAIN,0.028993322,Y
737,ACOXL,0.028912654,Y
738,RASGEF1A,0.028610776,Y
739,ADRA1B,0.028604046,Y
