L1_2_3,bestld,note
c30304,r0.4_seed3,auto;noL5
c30305,r0.4_seed8,auto;noL5
c30306,r0.6_seed2,auto;noL5
c30307,r0.6_seed8,r0.5_seed1;noL5
c30308,r0.1_seed0,r0.6_seed3;noL5
c30309,r0.5_seed5,r0.3_seed0;noL5
c304,r0.3_seed7,auto;noL5
c30400,r1.3_seed5,auto;noL5
c30401,r0.9_seed6,r0.2_seed0;noL5
c30402,r0.4_seed1,r0.2_seed1;noL5
c30403,r0.1_seed0,r0.5_seed9;noL5;dirty
c305,r0.5_seed5,auto;noL5
c30500,r0.5_seed5,r0.4_seed0;noL5
c30501,r0.4_seed5,auto;noL5
c30502,r0.6_seed7,r0.3_seed9;noL5
c30503,r0.9_seed0,auto;noL5
c30504,r0.4_seed6,auto;noL5
c30505,r0.4_seed2,auto;noL5
c30506,r0.4_seed6,auto;noL5
c30507,r0.4_seed6,auto;noL5
c30508,r0.7_seed3,auto;noL5
c30509,r0.2_seed2,auto;noL5
c30510,r0.3_seed1,auto;noL5
c306,r0.5_seed9,auto;noL5
c30600,r0.8_seed6,auto;noL5
c30601,r0.6_seed6,r0.3_seed1;noL5
c30602,r0.5_seed7,r0.4_seed5;noL5
c30603,r0.6_seed5,r0.2_seed3;noL5
c30604,r0.2_seed2,auto;noL5
c30700,r1.2_seed8,auto;noL5
c30701,r0.6_seed9,r0.4_seed9;noL5
c30702,r0.4_seed9,r0.1_seed6;noL5
c30703,r0.3_seed9,auto;noL5
c30704,r0.4_seed2,auto;noL5
c30705,r0.6_seed7,r0.3_seed6;noL5
c30800,r0.5_seed2,auto
c30801,r0.2_seed6,auto
c30802,r0.1_seed0,r0.4_seed1;noL5
c30900,r0.4_seed1,auto;noL5
c30901,r0.4_seed6,auto;noL5
c30902,r0.6_seed1,r0.4_seed5;noL5
c30903,r1.0_seed4,r0.3_seed5;noL5
c30904,r0.6_seed7,auto;noL5
c30905,r0.4_seed9,auto;noL5
c30906,r0.5_seed5,auto;noL5
c30907,r0.1_seed0,r0.6_seed4;noL5
c30908,r0.1_seed0,r0.6_seed7;noL5
c31000,r0.6_seed6,r0.4_seed2;noL5
c31001,r0.6_seed8,r0.4_seed9;noL5
c31002,r0.2_seed7,auto;noL5
c31003,r0.3_seed5,auto;noL5
c31004,r0.1_seed0,auto;noL5
c31005,r0.7_seed5,r0.2_seed1;noL5
c31006,r0.6_seed5,auto;noL5
c31007,r0.3_seed5,auto;noL5
c31008,r0.5_seed9,auto;noL5
c31009,r0.3_seed1,auto;noL5
c31010,r0.4_seed5,auto;noL5
c31100,r0.4_seed6,auto
c31101,r0.4_seed4,r0.2_seed4;noL5
c31200,r0.5_seed7,r0.2_seed0;noL5
c31201,r0.6_seed2,r0.2_seed4;noL5
c31202,r0.5_seed4,auto;noL5
c31203,r0.4_seed0,auto;noL5
c31300,r0.3_seed6,auto;noL5
c31301,r0.6_seed5,r0.3_seed4;noL5
c31302,r0.4_seed5,r0.1_seed0;noL5
